, Authors,Quotes,Likes,Tags
10,"Roy T. Bennett,","“Pursue what catches your heart, not what catches your eyes.”",4737,"['gratitude,', 'heart,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'thoughts']"
11,"Roy T. Bennett,",“Start each day with a positive thought and a grateful heart.”,4402,"['gratitude,', 'heart,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'thoughts']"
12,"Roy T. Bennett,",“Be grateful for what you already have while you pursue your goals.,4353,"['goal,', 'goals,', 'gratitude,', 'happiness,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leadership,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
13,"Roy T. Bennett,","“Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.”",4146,"['challenge,', 'enjoy-the-journey,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'keep-moving-forward,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'move-on,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
14,Steve Maraboli,"“Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.”",3918,"['destiny,', 'happiness,', 'history,', 'inspirational,', 'let-go,', 'letting-go,', 'life,', 'motivational,', 'moving-on,', 'success']"
15,"Roy T. Bennett,",“Be brave to stand for what you believe in even if you stand alone.”,3900,"['belief,', 'beliefs,', 'believe,', 'courage,', 'courage-quotes,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
16,"Viktor E. Frankl,","“Everything can be taken from a man but one thing: the last of the human freedoms—to choose one’s attitude in any given set of circumstances, to choose one’s own way.”",3877,"['inspirational,', 'motivational']"
17,"Roy T. Bennett,",“Never lose hope. Storms make people stronger and never last forever.”,3660,"['adversity,', 'difficulty,', 'hope,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'perseverance,', 'persistence,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'storms']"
18,"Roy T. Bennett,",“Do not fear failure but rather fear not trying.”,3629,"['failure,', 'fearless,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quote,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-philosophy,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'never-give-up,', 'optimism,', 'optimistic,', 'persistence,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'trying']"
19,Zig Ziglar,"“Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.”",3251,"['attention,', 'direction,', 'focus,', 'inspirational,', 'motivational']"
20,Steve Maraboli,“Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.”,3135,"['cry,', 'forgive,', 'happiness,', 'inspiration,', 'learn,', 'letting-go,', 'life,', 'motivational,', 'moving-on,', 'seeds,', 'success,', 'tears,', 'water']"
21,Roy T. Bennett,“You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”,2876,"['achievement,', 'change,', 'comfort-zone,', 'courage,', 'dream,', 'dreams,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leaders,', 'leadership,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'start-up,', 'step-out-of-your-comfort-zone']"
22,"Roy T. Bennett,","“Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”",2863,"['future,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'limit,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'potential']"
23,"Roy T. Bennett,",“Let the improvement of yourself keep you so busy that you have no time to criticize others.”,2759,"['improvement,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leadership,', 'learning,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'success']"
24,"Steve Maraboli,",“Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't.”,2621,"['change,', 'control,', 'empowerment,', 'inspirational,', 'letting-go,', 'life,', 'motivational']"
25,"Roy T. Bennett,",“Believe in your infinite potential. Your only limitations are those you set upon yourself.”,2417,"['believe,', 'believe-in-yourself,', 'confidence,', 'empowerment,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'limitations,', 'limits,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'potential,', 'spiritual-growth,', 'spirituality,', 'talents']"
26,"Steve Maraboli,","“Happiness is not the absence of problems, it's the ability to deal with them.”",2387,"['empowerment,', 'happiness,', 'inspirational,', 'life-lessons,', 'motivational,', 'problems']"
27,"Confucius,",“The man who moves a mountain begins by carrying away small stones.”,2319,"['incrementalism,', 'motivational,', 'perseverance']"
28,Arthur C. Clarke,“The only way of discovering the limits of the possible is to venture a little way past them into the impossible.”,2180,['motivational']
29,"Roy T. Bennett,",“Surround Yourself with People Who Believe in Your Dreams:,2025,"['ambition,', 'dream,', 'dreams,', 'encourage,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
0,"Steve Maraboli,","“Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.”",1992,"['ability,', 'action,', 'gratitude,', 'happiness,', 'inspirational,', 'life,', 'motivational,', 'moving-forward,', 'problems,', 'success']"
1,"Roy T. Bennett,","“Do what you love, love what you do, and with all your heart give yourself to it.”",1944,"['do,', 'doing,', 'heart,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'love,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
2,"Roy T. Bennett,","“Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.”",1882,"['choice,', 'future,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'letting-go,', 'letting-go-and-moving-on,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
3,Ralph Waldo Emerson,“Without ambition one starts nothing. Without work one finishes nothing. The prize will not be sent to you. You have to win it.”,1867,"['motivational,', 'work']"
4,"Roy T. Bennett,","“If you believe very strongly in something, stand up and fight for it.”",1834,"['believe,', 'believe-in-yourself,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quote,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-philosophy,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
5,Pablo Picasso,"“Learn the rules like a pro, so you can break them like an artist.”",1811,"['art,', 'creativity,', 'motivational,', 'picasso,', 'rules,', 'writing']"
6,Wayne W. Dyer,“Change the way you look at things and the things you look at change.”,1801,"['change,', 'inspirational,', 'motivational,', 'perception']"
7,"Roy T. Bennett,",“It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.”,1755,"['change,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
8,"Roy T. Bennett,","“Always remember people who have helped you along the way, and don’t forget to lift someone up.”",1707,"['gratitude,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leadership,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
9,"Roy T. Bennett,","“The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.”",1591,"['dream,', 'dreams,', 'dreams-quotes,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'mind,', 'mind-quotes,', 'motivation,', 'motivational,', 'obstacle,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'success,', 'success-quotes']"
10,"Steve Maraboli,","“When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman.”",1557,"['boyfriend,', 'girlfriend,', 'inspirational,', 'jealous,', 'life,', 'love,', 'marriage,', 'men,', 'motivational,', 'relationship,', 'women']"
11,"Roy T. Bennett,",“What's done is done. What's gone is gone. One of life's lessons is always moving on. It’s okay to look back to see how far you’ve come but keep moving forward.”,1557,"['inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'keep-going,', 'keep-moving-forward,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
12,"Roy T. Bennett,","“Maturity is when you stop complaining and making excuses, and start making changes.”",1554,"['change,', 'choice,', 'choices,', 'excuse,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
13,"Roy T. Bennett,","“Never stop dreaming,",1541,"['believe,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'learning,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'never-give-up,', 'never-stop-believing,', 'never-stop-dreaming,', 'never-stop-learning,', 'never-stop-trying,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'success']"
14,"Roy T. Bennett,",“Strong people have a strong sense of self-worth and self-awareness; they don’t need the approval of others.”,1526,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'self-awareness,', 'self-worth,', 'strong']"
15,"Roy T. Bennett,","“When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.”",1474,"['adversity,', 'challenge,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'keep-going,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'never-give-up,', 'optimism,', 'optimistic,', 'persistence,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
16,"Roy T. Bennett,","“Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.”",1419,"['happiness,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'mind,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
17,"Steve Maraboli,","“At the end of the day, let there be no excuses, no explanations, no regrets.”",1392,"['appreciation,', 'excuses,', 'gratitude,', 'inspirational,', 'life,', 'motivational,', 'no-regrets,', 'seize-the-day,', 'success']"
18,"Steve Maraboli,","“We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.”",1360,"['inspirational,', 'life,', 'living-now,', 'mistakes,', 'motivational,', 'regret,', 'self-empowerment,', 'struggles']"
19,"Roy T. Bennett,","“If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.”",1337,"['inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leadership,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'passion,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'purpose']"
20,"Roy T. Bennett,",“Patience Is Not the Ability to Wait:,1297,"['calm,', 'faith,', 'growth,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'opportunity,', 'optimism,', 'optimistic,', 'patience,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
21,Helen Keller,"“Although the world is full of suffering, it is full also of the overcoming of it.”",1280,['motivational']
22,"Steve Maraboli,",“You must learn to let go. Release the stress. You were never in control anyway.”,1272,"['control,', 'inspirational,', 'letting-go,', 'life,', 'motivational,', 'stress']"
23,"Steve Maraboli,","“I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye.”",1272,"['breakup,', 'commit,', 'deserve,', 'goodbye,', 'happiness,', 'inspirational,', 'life,', 'love,', 'motivational,', 'relationship,', 'respect']"
24,"Napoleon Hill,","“Whatever the mind can conceive and believe, it can achieve.”",1252,"['inspirational,', 'motivational,', 'success']"
25,"Samuel Lover,",“Circumstances are the rulers of the weak; they are but the instruments of the wise.”,1230,['motivational']
26,"Steve Maraboli,","“Make a pact with yourself today to not be defined by your past. Sometimes the greatest thing to come out of all your hard work isn't what you get for it, but what you become for it. Shake things up today! Be You...Be Free...Share.”",1218,"['action,', 'authenticity,', 'gratitude,', 'hard-work,', 'inspirational,', 'life,', 'life-lessons,', 'motivational,', 'success']"
27,"Roy T. Bennett,","“The strongest people find the courage and caring to help others, even if they are going through their own storm.”",1214,"['courage,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'strong']"
28,"Roy T. Bennett,",“Live the Life of Your Dreams,1125,"['achievement,', 'act,', 'action,', 'being-positive,', 'belief,', 'believe-in-yourself,', 'do,', 'doing,', 'dreams,', 'hard-work,', 'inspiration,', 'inspirational,', 'life,', 'live,', 'living,', 'living-life,', 'mistakes,', 'motivation,', 'motivational,', 'obstacles,', 'optimism,', 'optimistic,', 'perseverance,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'self-belief,', 'setbacks,', 'start,', 'startup']"
29,"Steve Maraboli,","“If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.”",1116,"['accountability,', 'friends,', 'inspirational,', 'life,', 'motivational,', 'purpose,', 'responsibility,', 'success']"
0,"Roy T. Bennett,",“Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.”,1496,"['arrogance,', 'compliment,', 'criticism,', 'despair,', 'failure,', 'heart,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'success']"
1,"Roy T. Bennett,","“You are unique. You have different talents and abilities. You don’t have to always follow in the footsteps of others. And most important, you should always remind yourself that you don't have to do what everyone else is doing and have a responsibility to develop the talents you have been given.”",1253,"['ability,', 'be-yourself,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'talent']"
2,"Roy T. Bennett,","“You cannot change anyone, but you can be the reason someone changes.”",1251,"['change,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
3,"Roy T. Bennett,","“Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.”",1245,"['gratitude,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'light,', 'live-life-to-the-fullest,', 'living,', 'love,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
4,Roy T. Bennett,“The surest way to make your dreams come true is to live them.”,1197,"['dream,', 'dream-comes-true,', 'dreams,', 'dreams-come-true,', 'dreams-quotes,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'living-life,', 'motivational,', 'motivational-inspirational,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'positivity']"
5,"Roy T. Bennett,","“Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.”",1161,"['courage,', 'fear,', 'fearless,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
6,"Eleanor Roosevelt,","“Do not stop thinking of life as an adventure. You have no security unless you can live bravely, excitingly, imaginatively; unless you can choose a challenge instead of competence.”",1160,"['inspirational,', 'motivational,', 'women']"
7,"Henry David Thoreau,","“However mean your life is, meet it and live it; do not shun it and call it hard names. It is not so bad as you are. It looks poorest when you are richest. The fault-finder will find faults even in paradise. Love your life, poor as it is. You may perhaps have some pleasant, thrilling, glorious hours, even in a poorhouse.",1158,"['adversity,', 'hard-times,', 'inspiration,', 'inspirational,', 'life,', 'motivational']"
8,"Roy T. Bennett,","“To have what you have never had, you have to do what you have never done.”",1128,"['action,', 'courage-quotes,', 'courageous,', 'doing,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
9,William James,"“Action may not always bring happiness, but there is no happiness without action. ”",1121,"['action,', 'happiness,', 'motivational,', 'work']"
10,"Roy T. Bennett,",“You Are the Master of Your Attitude,1076,"['attitude,', 'choice,', 'choices,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
11,Jim Rohn,“You are the average of the five people you spend the most time with.”,1059,"['motivational,', 'reflective']"
12,"Steve Maraboli,",“Get Off The Scale!,1059,"['beauty,', 'inspirational,', 'life,', 'motivational,', 'scale,', 'self-empowerment,', 'self-image,', 'weight-loss']"
13,"George Bernard Shaw,","“People are always blaming their circumstances for what they are. I don't believe in circumstances. The people who get on in this world are the people who get up and look for the circumstances they want, and if they can't find them, make them.”",1055,"['motivational,', 'overcoming-obstacles']"
14,"Steve Maraboli,","“Renew, release, let go. Yesterday’s gone. There’s nothing you can do to bring it back. You can’t “should’ve” done something. You can only DO something. Renew yourself. Release that attachment. Today is a new day!”",1043,"['action,', 'attachment,', 'change,', 'inspirational,', 'letting-go,', 'life,', 'live-now,', 'motivational,', 'success,', 'today']"
15,"Steve Maraboli,",“How would your life be different if…You walked away from gossip and verbal defamation? Let today be the day…You speak only the good you know of other people and encourage others to do the same.”,988,"['encouragement,', 'friends,', 'gossip,', 'inspirational,', 'life,', 'motivational,', 'relationships']"
16,"Steve Maraboli,","“Forget yesterday - it has already forgotten you. Don't sweat tomorrow - you haven't even met. Instead, open your eyes and your heart to a truly precious gift - today.”",947,"['appreciation,', 'change,', 'gratitude,', 'inspirational,', 'life,', 'live-now,', 'motivational,', 'success,', 'today']"
17,Isaac Asimov,"“I write for the same reason I breathe - because if I didn't, I would die.”",932,"['motivational,', 'writing']"
